sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,mean_line_tortuosity,couplet_tortuosity,avg_metrical_deviation,num_rhyme_pairs,num_lines
116,3.3923324438238587,3.3242422341950126,-0.06809020962884604,-2.0071797430352767,8.192158,6.7150087,2.7857142857142856,6,14
117,2.602917279841494,2.5759122674006822,-0.027005012440811882,-1.037490228750426,8.421049,8.626624,2.2142857142857144,6,14
118,2.863616450760076,2.806203668633087,-0.05741278212698875,-2.0049047459463347,7.8018765,10.023372,3.5714285714285716,6,14
119,3.362531860838059,3.305938342489956,-0.056593518348103,-1.683062664988338,8.364874,9.577842,2.2142857142857144,5,14
120,2.734598230738352,2.7029690221517724,-0.031629208586579693,-1.1566309167851574,8.260054,8.647991,2.5714285714285716,5,14
121,3.4952161033094646,3.3963389243452724,-0.09887717896419224,-2.828928914311474,7.3636346,6.9891076,2.4285714285714284,5,14
122,3.273224964818698,3.1853058238799914,-0.08791914093870679,-2.68600972691092,8.006583,6.493228,3.357142857142857,4,14
123,4.151422066363543,3.993301085571839,-0.1581209807917041,-3.8088389535928564,8.525572,7.032697,2.4285714285714284,4,14
124,2.6736539969175666,2.6422299483533047,-0.03142404856426184,-1.1753221845642843,8.592099,7.9537945,3.357142857142857,6,14
125,3.571821282339079,3.5012183980312033,-0.07060288430787587,-1.976663408580178,7.996078,6.6656413,3.5714285714285716,4,14
126,2.663994006989979,2.6156326721924668,-0.048361334797512257,-1.8153695042338052,8.014044,8.306422,2.5,0,12
127,3.237591330767539,3.1865488587746884,-0.05104247199285039,-1.5765569764096727,8.52144,7.9208665,2.9285714285714284,5,14
128,3.685976734794083,3.574996383747271,-0.11098035104681214,-3.0108803997378475,8.324029,9.168986,2.2142857142857144,5,14
129,3.2683663864770485,3.195426129465565,-0.07294025701148366,-2.2317038050958997,7.5639195,9.062245,3.2142857142857144,3,14
130,2.831251818677072,2.780012107949926,-0.05123971072714584,-1.8097899448268808,8.067045,7.6790166,1.8571428571428572,3,14
131,2.7311883024241683,2.701981229795037,-0.029207072629131137,-1.0693906605856252,8.483423,9.255193,1.5,5,14
132,3.7962255799113245,3.674495123596015,-0.12173045631530943,-3.206618093494668,7.6669574,8.130528,2.4285714285714284,5,14
133,2.5915836023269905,2.555797668059567,-0.0357859342674236,-1.3808520101489803,7.2816615,6.8049645,3.5,4,14
134,3.4974261168825924,3.380299638381618,-0.11712647850097424,-3.348933603931972,7.8699746,8.052276,3.4285714285714284,5,14
135,3.2119153240745217,3.157206350262655,-0.0547089738118669,-1.7033130793269184,7.59658,6.6300373,3.0714285714285716,3,14
136,3.797020932833848,3.7102348690163303,-0.08678606381751752,-2.285635643118409,7.0922823,5.802898,2.9285714285714284,3,14
137,2.680414627618348,2.6321651255142595,-0.04824950210408829,-1.8000760631186319,7.5344205,6.613097,2.857142857142857,3,14
138,3.2734639839182558,3.1835016877832882,-0.08996229613496753,-2.74822929401181,8.56013,8.5614195,2.857142857142857,4,14
139,3.142027737113076,3.067887566423312,-0.07414017068976397,-2.359628141217004,8.131501,10.500238,3.2857142857142856,5,14
140,3.67710171723848,3.5546369930690016,-0.12246472416947851,-3.3304687655322756,9.051401,7.900381,2.857142857142857,2,14
141,2.9156346557796553,2.8559541732099034,-0.05968048256975189,-2.046912237493385,7.939354,7.9803395,2.2142857142857144,4,14
142,3.4247371726922324,3.323341675286888,-0.10139549740534459,-2.960679675329252,7.2227983,6.6974792,3.7857142857142856,4,14
143,2.6201865207242583,2.581850473508064,-0.03833604721619421,-1.4631037490261405,8.467655,7.1270556,3.5714285714285716,3,14
